source;bucket;variant_role;spell_path;name;file;cost;charge_time;cooldown_time;desc
lesser_augmentation;pointbuy_spells;;/datum/action/cooldown/spell/create_campfire;"""Create Campfire""";code\modules\spells\spell_types\wizard\utility\create_campfire.dm;;3 SECONDS;60 SECONDS;"""Creates a magical campfire to cook on. 3 tiles range. Lasts for 10 minutes."""
lesser_augmentation;pointbuy_spells;;/datum/action/cooldown/spell/darkvision;"""Darkvision""";code\modules\spells\spell_types\wizard\augmentation\darkvision.dm;;1 SECONDS;1.5 MINUTES;"""Enhance the night vision of yourself and everyone around you for 15 minutes."""
lesser_augmentation;pointbuy_spells;;/datum/action/cooldown/spell/featherfall;"""Featherfall""";code\modules\spells\spell_types\wizard\augmentation\featherfall.dm;;1 SECONDS;2 MINUTES;"""Grant yourself and any creatures adjacent to you some defense against falls."""
lesser_augmentation;pointbuy_spells;;/datum/action/cooldown/spell/leap;"""Leap""";code\modules\spells\spell_types\wizard\augmentation\leap.dm;;1 SECONDS;2 MINUTES;"""Empower a target's legs to allow them to leap to great heights for 20 seconds. Does not prevent fall damage."""
lesser_augmentation;pointbuy_spells;;/datum/action/cooldown/spell/light;"""Light""";code\modules\spells\spell_types\wizard\utility\light.dm;;0.5 SECONDS;30 SECONDS;"""Summons a condensed orb of light."""
lesser_augmentation;pointbuy_spells;;/datum/action/cooldown/spell/mending;"""Mending""";code\modules\spells\spell_types\wizard\utility\mending.dm;;;20 SECONDS;"""Uses arcyne energy to mend an item, prosthetic or artificial being. Effect of repair scales off of your Intelligence."""
lesser_augmentation;pointbuy_spells;;/datum/action/cooldown/spell/nondetection;"""Nondetection""";code\modules\spells\spell_types\wizard\augmentation\nondetection.dm;;1 SECONDS;10 SECONDS;"""Shroud a target from divination magic for 1 hour."""
pyromancy;fixed_spells;;/datum/action/cooldown/spell/create_campfire;"""Create Campfire""";code\modules\spells\spell_types\wizard\utility\create_campfire.dm;;3 SECONDS;60 SECONDS;"""Creates a magical campfire to cook on. 3 tiles range. Lasts for 10 minutes."""
pyromancy;fixed_spells;;/datum/action/cooldown/spell/fire_blast;"""Fire Blast""";code\modules\spells\spell_types\wizard\pyromancy\fire_blast.dm;;1 SECONDS;10 SECONDS;"""Channel a blast of flame in a 4-tile line toward your target, repelling those struck back 2 paces and leaving the ground ablaze. \"
pyromancy;fixed_spells;;/datum/action/cooldown/spell/fire_curtain;"""Fire Curtain""";code\modules\spells\spell_types\wizard\pyromancy\fire_curtain.dm;;1 SECONDS;25 SECONDS;"""Conjure a 5x2 curtain of flame at a target location, perpendicular to your facing. \"
pyromancy;fixed_spells;;/datum/action/cooldown/spell/projectile/fireball;"""Fireball""";code\modules\spells\spell_types\wizard\pyromancy\fireball.dm;;CHARGETIME_MAJOR;16 SECONDS;"""Shoot out a ball of fire that explodes on impact, scorching and slowing nearby targets. \"
pyromancy;fixed_spells;;/datum/action/cooldown/spell/projectile/spitfire;"""Spitfire""";code\modules\spells\spell_types\wizard\pyromancy\spitfire.dm;;CHARGETIME_POKE;5.5 SECONDS;"""Shoot out a low-powered ball of fire that ignites a target with a small amount of fire on impact. \"
pyromancy;variants;variant_base;/datum/action/cooldown/spell/projectile/fireball;"""Fireball""";code\modules\spells\spell_types\wizard\pyromancy\fireball.dm;;CHARGETIME_MAJOR;16 SECONDS;"""Shoot out a ball of fire that explodes on impact, scorching and slowing nearby targets. \"
pyromancy;variants;variant_replacement;/datum/action/cooldown/spell/projectile/fireball/artillery;"""Artillery Fireball""";code\modules\spells\spell_types\wizard\pyromancy\fireball_artillery.dm;;CHARGETIME_HEAVY;16 SECONDS;"""An artillery fireball that destroys structures with ease and creates a large impact of smoke and flame. \"
pyromancy;variants;;/datum/action/cooldown/spell/projectile/fireball/greater;"""Greater Fireball""";code\modules\spells\spell_types\wizard\pyromancy\fireball_greater.dm;;;22 SECONDS;"""Shoot out an immense ball of fire that explodes on impact, scorching and slowing all nearby targets in a wide radius. \"
telomancy;fixed_spells;;/datum/action/cooldown/spell/energetic_blast;"""Energetic Blast""";code\modules\spells\spell_types\wizard\telomancy\energetic_blast.dm;;1 SECONDS;10 SECONDS;"""Channel a wave of raw arcyne energy in a 4-tile line in front of you, striking foes for blunt damage and hurling them back 3 paces. \"
telomancy;fixed_spells;;/datum/action/cooldown/spell/greater_cleaning;"""Greater Cleaning""";code\modules\spells\spell_types\wizard\kinesis\greater_cleaning.dm;;CHARGETIME_POKE;10 SECONDS;"""Unleash a wave of kinetic force that scours a nearby area clean of grime and debris."""
telomancy;fixed_spells;;/datum/action/cooldown/spell/projectile/arcyne_salvo;"""Arcyne Salvo""";code\modules\spells\spell_types\wizard\telomancy\arcyne_salvo.dm;;CHARGETIME_POKE;12 SECONDS;"""Loose three heavy arcyne bolts in a wide spread toward a single target. Each bolt strikes hard on its own, and if all three converge on the same foe the payoff is devastating. \"
telomancy;fixed_spells;;/datum/action/cooldown/spell/projectile/basic_offensive;"""Basic Offensive Magic""";code\modules\spells\spell_types\wizard\projectiles_single\basic_offensive.dm;;CHARGETIME_POKE;5.5 SECONDS;"""Fundamental attack magyck. Used for centuries. Toggle firing mode (Shift+G) while the spell is active: \"
telomancy;fixed_spells;;/datum/action/cooldown/spell/projectile/seeker_volley;"""Seeker Volley""";code\modules\spells\spell_types\wizard\telomancy\seeker_volley.dm;;CHARGETIME_POKE;12 SECONDS;"""Lock onto a single target and loose a flight of slow arcyne orbs that pursue them relentlessly. \"
telomancy;variants;;/datum/action/cooldown/spell/projectile/arcyne_barrage;"""Arcyne Barrage""";code\modules\spells\spell_types\wizard\telomancy\arcyne_barrage.dm;;CHARGETIME_HEAVY;90 SECONDS;"""The Ultimate Reason of a Telomancer - barrage a direction with pulses of piercing, ricocheting arcyne bolts for ten seconds. The bolts can pierce up to five targets. \"
